Dimension matrix computed: 99
time for diagonalize: 1.4239s

EIGEN VALUE    Relative error   Theoretical value      Relative error from teory: 
2.99922e+00    7.49226e-12 %        3                    2.60487e-02 %
6.99609e+00    2.83106e-12 %        7                    5.58002e-02 %
1.09907e+01    3.47492e-12 %        11                    8.49362e-02 %
1.49881e+01    2.53628e-12 %        15                    7.92947e-02 %
1.90436e+01    1.39918e-12 %        19                    2.29283e-01 %
2.33767e+01    1.30700e-12 %        23                    1.63783e+00 %
2.83098e+01    1.79457e-12 %        27                    4.85114e+00 %
3.40186e+01    1.65006e-12 %        31                    9.73738e+00 %
4.05317e+01    1.10442e-12 %        35                    1.58050e+01 %
4.78356e+01    4.60469e-13 %        39                    2.26555e+01 %
5.59130e+01    8.64144e-13 %        43                    3.00302e+01 %
6.47487e+01    2.19477e-14 %        47                    3.77633e+01 %
7.43294e+01    1.91188e-14 %        51                    4.57439e+01 %
8.46424e+01    6.71571e-14 %        55                    5.38953e+01 %
9.56755e+01    2.97064e-14 %        59                    6.21619e+01 %
1.07416e+02    2.11675e-13 %        63                    7.05022e+01 %
1.19852e+02    4.74278e-14 %        67                    7.88842e+01 %
1.32971e+02    2.77868e-13 %        71                    8.72825e+01 %
1.46757e+02    7.74658e-14 %        75                    9.56765e+01 %
1.61199e+02    1.76315e-14 %        79                    1.04049e+02 %
1.76280e+02    1.61230e-14 %        83                    1.12386e+02 %
1.91987e+02    1.48040e-13 %        87                    1.20674e+02 %
2.08302e+02    1.63734e-13 %        91                    1.28903e+02 %
2.25211e+02    6.31003e-14 %        95                    1.37064e+02 %
2.42695e+02    1.40530e-13 %        99                    1.45147e+02 %
2.60739e+02    2.18009e-14 %        103                    1.53144e+02 %
2.79323e+02    4.07008e-14 %        107                    1.61050e+02 %
2.98430e+02    3.80950e-14 %        111                    1.68856e+02 %
3.18040e+02    2.14476e-13 %        115                    1.76557e+02 %
3.38135e+02    1.17676e-13 %        119                    1.84147e+02 %
3.58694e+02    2.85252e-13 %        123                    1.91621e+02 %
3.79697e+02    1.49707e-13 %        127                    1.98974e+02 %
4.01123e+02    0.00000e+00 %        131                    2.06201e+02 %
4.22951e+02    1.34397e-14 %        135                    2.13297e+02 %
4.45160e+02    6.38461e-14 %        139                    2.20259e+02 %
4.67727e+02    1.57991e-13 %        143                    2.27082e+02 %
4.90630e+02    1.15858e-14 %        147                    2.33762e+02 %
5.13848e+02    6.63739e-14 %        151                    2.40296e+02 %
5.37355e+02    2.11567e-14 %        155                    2.46681e+02 %
5.61131e+02    1.82343e-13 %        159                    2.52912e+02 %
5.85150e+02    1.36001e-13 %        163                    2.58988e+02 %
6.09390e+02    1.86558e-14 %        167                    2.64904e+02 %
6.33826e+02    5.38098e-14 %        171                    2.70658e+02 %
6.58434e+02    1.20864e-13 %        175                    2.76248e+02 %
6.83191e+02    0.00000e+00 %        179                    2.81671e+02 %
7.08070e+02    3.21117e-14 %        183                    2.86924e+02 %
7.33049e+02    1.55088e-14 %        187                    2.92005e+02 %
7.58102e+02    1.49962e-14 %        191                    2.96912e+02 %
7.83205e+02    8.70935e-14 %        195                    3.01644e+02 %
8.08333e+02    2.81287e-14 %        199                    3.06197e+02 %
8.33460e+02    5.45614e-14 %        203                    3.10571e+02 %
8.58563e+02    1.32415e-13 %        207                    3.14765e+02 %
8.83616e+02    1.41527e-13 %        211                    3.18775e+02 %
9.08595e+02    3.75371e-14 %        215                    3.22602e+02 %
9.33475e+02    0.00000e+00 %        219                    3.26244e+02 %
9.58231e+02    2.37285e-14 %        223                    3.29700e+02 %
9.82839e+02    3.47016e-14 %        227                    3.32969e+02 %
1.00728e+03    2.25731e-14 %        231                    3.36050e+02 %
1.03151e+03    2.20427e-14 %        235                    3.38943e+02 %
1.05553e+03    2.15411e-14 %        239                    3.41646e+02 %
1.07931e+03    6.31998e-14 %        243                    3.44160e+02 %
1.10282e+03    4.12351e-14 %        247                    3.46485e+02 %
1.12603e+03    1.00962e-13 %        251                    3.48619e+02 %
1.14894e+03    1.78109e-13 %        255                    3.50564e+02 %
1.17150e+03    3.88174e-14 %        259                    3.52318e+02 %
1.19371e+03    1.90476e-14 %        263                    3.53883e+02 %
1.21554e+03    9.35277e-14 %        267                    3.55259e+02 %
1.23697e+03    5.51446e-14 %        271                    3.56446e+02 %
1.25797e+03    3.61493e-14 %        275                    3.57444e+02 %
1.27853e+03    1.77840e-14 %        279                    3.58254e+02 %
1.29862e+03    0.00000e+00 %        283                    3.58878e+02 %
1.31823e+03    3.44967e-14 %        287                    3.59315e+02 %
1.33734e+03    1.70019e-14 %        291                    3.59567e+02 %
1.35592e+03    3.35378e-14 %        295                    3.59636e+02 %
1.37397e+03    6.61947e-14 %        299                    3.59521e+02 %
1.39145e+03    6.53630e-14 %        303                    3.59225e+02 %
1.40836e+03    1.29156e-13 %        307                    3.58750e+02 %
1.42468e+03    1.59597e-13 %        311                    3.58095e+02 %
1.44038e+03    4.73569e-14 %        315                    3.57264e+02 %
1.45546e+03    0.00000e+00 %        319                    3.56258e+02 %
1.46991e+03    1.54686e-14 %        323                    3.55079e+02 %
1.48369e+03    3.06497e-14 %        327                    3.53728e+02 %
1.49681e+03    7.59527e-14 %        331                    3.52209e+02 %
1.50925e+03    0.00000e+00 %        335                    3.50521e+02 %
1.52099e+03    4.48472e-14 %        339                    3.48669e+02 %
1.53202e+03    4.45242e-14 %        343                    3.46654e+02 %
1.54234e+03    0.00000e+00 %        347                    3.44477e+02 %
1.55192e+03    1.46511e-13 %        351                    3.42142e+02 %
1.56076e+03    4.37045e-14 %        355                    3.39650e+02 %
1.56884e+03    5.79724e-14 %        359                    3.37003e+02 %
1.57616e+03    1.15407e-13 %        363                    3.34203e+02 %
1.58268e+03    1.43663e-14 %        367                    3.31249e+02 %
1.58840e+03    2.86292e-14 %        371                    3.28141e+02 %
1.59327e+03    0.00000e+00 %        375                    3.24873e+02 %
1.59722e+03    1.42356e-14 %        379                    3.21431e+02 %
1.60031e+03    4.26243e-14 %        383                    3.17836e+02 %
1.60362e+03    4.25364e-14 %        387                    3.14371e+02 %
1.60821e+03    4.24149e-14 %        391                    3.11307e+02 %
1.61482e+03    1.40804e-14 %        395                    3.08816e+02 %
