Dimension matrix computed: 99
time for diagonalize: 1.4164s

EIGEN VALUE    Relative error   Theoretical value      Relative error from teory: 
2.99687e+00    2.43022e-12 %        3                    1.04284e-01 %
6.98434e+00    2.19999e-12 %        7                    2.23725e-01 %
1.09617e+01    1.11815e-12 %        11                    3.47813e-01 %
1.49290e+01    1.18987e-14 %        15                    4.73087e-01 %
1.88862e+01    5.45524e-13 %        19                    5.99004e-01 %
2.28332e+01    7.62413e-13 %        23                    7.25400e-01 %
2.67699e+01    1.22096e-12 %        27                    8.52212e-01 %
3.06964e+01    1.33098e-12 %        31                    9.79409e-01 %
3.46126e+01    3.69512e-13 %        35                    1.10698e+00 %
3.85184e+01    5.16512e-13 %        39                    1.23491e+00 %
4.24138e+01    2.84795e-13 %        43                    1.36320e+00 %
4.62988e+01    9.20813e-14 %        47                    1.49185e+00 %
5.01734e+01    8.49705e-14 %        51                    1.62086e+00 %
5.40374e+01    8.54691e-13 %        55                    1.75024e+00 %
5.78908e+01    3.06846e-13 %        59                    1.87998e+00 %
6.17336e+01    4.48883e-13 %        63                    2.01008e+00 %
6.55658e+01    3.03438e-13 %        67                    2.14055e+00 %
6.93873e+01    1.63844e-13 %        71                    2.27140e+00 %
7.31981e+01    1.94142e-14 %        75                    2.40258e+00 %
7.69982e+01    1.29193e-13 %        79                    2.53389e+00 %
8.07887e+01    1.58311e-13 %        83                    2.66417e+00 %
8.45739e+01    5.04086e-14 %        87                    2.78856e+00 %
8.83683e+01    2.73384e-13 %        91                    2.89197e+00 %
9.22053e+01    3.08244e-14 %        95                    2.94174e+00 %
9.61364e+01    1.47820e-13 %        99                    2.89252e+00 %
1.00211e+02    1.27628e-13 %        103                    2.70777e+00 %
1.04457e+02    2.04067e-13 %        107                    2.37646e+00 %
1.08881e+02    1.95776e-13 %        111                    1.90923e+00 %
1.13475e+02    1.50280e-13 %        115                    1.32604e+00 %
1.18229e+02    3.60593e-14 %        119                    6.47741e-01 %
1.23132e+02    5.77059e-14 %        123                    1.07159e-01 %
1.28172e+02    6.65239e-14 %        127                    9.23044e-01 %
1.33341e+02    6.39452e-14 %        131                    1.78690e+00 %
1.38629e+02    1.43514e-13 %        135                    2.68782e+00 %
1.44027e+02    9.86679e-14 %        139                    3.61661e+00 %
1.49529e+02    1.52060e-13 %        143                    4.56542e+00 %
1.55125e+02    2.93148e-13 %        147                    5.52748e+00 %
1.60810e+02    1.23718e-13 %        151                    6.49692e+00 %
1.66576e+02    2.21810e-13 %        155                    7.46858e+00 %
1.72416e+02    1.97812e-13 %        159                    8.43791e+00 %
1.78323e+02    6.37532e-14 %        163                    9.40088e+00 %
1.84291e+02    1.23378e-13 %        167                    1.03539e+01 %
1.90312e+02    1.49343e-14 %        171                    1.12936e+01 %
1.96380e+02    5.78912e-14 %        175                    1.22173e+01 %
2.02489e+02    5.61448e-14 %        179                    1.31221e+01 %
2.08631e+02    1.22607e-13 %        183                    1.40058e+01 %
2.14800e+02    7.93904e-14 %        187                    1.48661e+01 %
2.20989e+02    5.14446e-14 %        191                    1.57010e+01 %
2.27192e+02    5.00400e-14 %        195                    1.65088e+01 %
2.33402e+02    4.87085e-14 %        199                    1.72876e+01 %
2.39613e+02    1.30476e-13 %        203                    1.80361e+01 %
2.45818e+02    8.09346e-14 %        207                    1.87528e+01 %
2.52011e+02    1.57892e-13 %        211                    1.94363e+01 %
2.58184e+02    8.80665e-14 %        215                    2.00856e+01 %
2.64332e+02    2.15046e-14 %        219                    2.06994e+01 %
2.70447e+02    4.20366e-14 %        223                    2.12767e+01 %
2.76524e+02    2.05564e-14 %        227                    2.18168e+01 %
2.82556e+02    0.00000e+00 %        231                    2.23185e+01 %
2.88536e+02    0.00000e+00 %        235                    2.27813e+01 %
2.94458e+02    7.72177e-14 %        239                    2.32042e+01 %
3.00316e+02    1.32495e-13 %        243                    2.35868e+01 %
3.06103e+02    1.85701e-14 %        247                    2.39282e+01 %
3.11812e+02    9.11501e-14 %        251                    2.42279e+01 %
3.17438e+02    8.95347e-14 %        255                    2.44854e+01 %
3.22973e+02    8.80001e-14 %        259                    2.47002e+01 %
3.28413e+02    0.00000e+00 %        263                    2.48717e+01 %
3.33749e+02    3.40636e-14 %        267                    2.49995e+01 %
3.38975e+02    1.67692e-14 %        271                    2.50831e+01 %
3.44086e+02    1.15641e-13 %        275                    2.51221e+01 %
3.49073e+02    6.51364e-14 %        279                    2.51159e+01 %
3.53931e+02    1.60606e-14 %        283                    2.50641e+01 %
3.58653e+02    1.58491e-14 %        287                    2.49662e+01 %
3.63230e+02    0.00000e+00 %        291                    2.48214e+01 %
3.67656e+02    1.54610e-14 %        295                    2.46291e+01 %
3.71922e+02    1.52837e-14 %        299                    2.43885e+01 %
3.76018e+02    7.55861e-14 %        303                    2.40983e+01 %
3.79935e+02    1.49614e-14 %        307                    2.37573e+01 %
3.83661e+02    2.96321e-14 %        311                    2.33635e+01 %
3.87180e+02    1.02770e-13 %        315                    2.29144e+01 %
3.90476e+02    1.45575e-14 %        319                    2.24063e+01 %
3.93521e+02    0.00000e+00 %        323                    2.18332e+01 %
3.96275e+02    0.00000e+00 %        327                    2.11851e+01 %
3.98687e+02    1.28319e-13 %        331                    2.04493e+01 %
4.00867e+02    9.92607e-14 %        335                    1.96619e+01 %
4.03230e+02    2.81940e-14 %        339                    1.89470e+01 %
4.05973e+02    1.40018e-14 %        343                    1.83593e+01 %
4.09069e+02    1.38958e-14 %        347                    1.78874e+01 %
4.12496e+02    6.89017e-14 %        351                    1.75203e+01 %
4.16249e+02    2.73123e-14 %        355                    1.72531e+01 %
